text,score,title
So I should get rid of my gun because some idiot killed.,1,Tucker's Insane Defense For Mass Shooters
Can anyone think of a scenario other than excrusiating pain?,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Grandma isn't allowed over to the house anymore. Just don't even ask. We're putting her in a home soon.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Texas  Is Stupid And Full Of D!cks,1,Texas Gun Law UNLEASHES Wave of Shootings
Why are these republicunts so gross 🤮.. gun owners are ugly inside outside,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Texas is stupid a_s f_ck!!!,1,Texas Gun Law UNLEASHES Wave of Shootings
Those shooters were anti gun activists,0,Texas Gun Law UNLEASHES Wave of Shootings
They start out sounding like a journalist and then the face gets twisted and ugly and the hate spews forth. Ugly people,0,Tucker's Insane Defense For Mass Shooters
Cry me a river.,0,Tucker's Insane Defense For Mass Shooters
Hopefully the moron with the gun the gun will get sued in a civil suit and it will ruin his and his wife's entire lives,1,Texas Gun Law UNLEASHES Wave of Shootings
With a grandma like that who needs enemies?,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Yal might as well wear a sign that says rob me 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 idiots,1,Texas Gun Law UNLEASHES Wave of Shootings
What the actual f**k!? This hurts my brain,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Racist right wing lying kooky 😈 🤡 fool 🔐 her up now,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Maybe we should give her grandkids guns so they can protect themselves  .,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Yep that's the religious crazy for you I'll kill you to protect you that's their idiotic logic.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
That is one stupid grand jury.  I guess a civil suit is the only avenue left open for justice for that poor little girl.  The only legal one that is.,1,Texas Gun Law UNLEASHES Wave of Shootings
"Seriously, nothing happened to the guy who shot a nine year old?",0,Texas Gun Law UNLEASHES Wave of Shootings
No other Country in the world has a Constitution that sets out rights. And the 2nd amendment id about a personal right to own a firearm. If you do not like that 2nd Amendment or the Electoral collage then gather your people and propose a Constitutional Amendment.,0,Texas Gun Law UNLEASHES Wave of Shootings
"Wait until the criminal has a gun to your head, and the police are taking a long time to arrive to help you. Well since you don’t have a gun and no one can help you…. Sorry RIP",0,Texas Gun Law UNLEASHES Wave of Shootings
Shoot them to save them? Please make it make sense!,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"She is beautiful, and yes guns are bad, ban them already.",0,Texas Gun Law UNLEASHES Wave of Shootings
She is a fool. Not sure why the truth bothers these people,1,Tucker's Insane Defense For Mass Shooters
They are arming for the civil war,0,Texas Gun Law UNLEASHES Wave of Shootings
"The funny this that that guns won't protect anyone from the govt. They have drones and javelins, and lasers, and PHUCKING NUKES bro!",0,Texas Gun Law UNLEASHES Wave of Shootings
"TYT reminds me of  National Enquirer difference is that rag was good for a laugh, TYT just passes gas........Mean while in real news   Bidens polls drop to 33% , worst President in modern history.",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
In America the equivalent of the good guy with the gun is exactly equal to the idiot with a bazooka.,1,Texas Gun Law UNLEASHES Wave of Shootings
White people kill their children after they are born anyway. This might be good for the country if she shots her racist raised grandchildren.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"The rest of the world thinks we're lunatics. Yes, yes we do.",0,Texas Gun Law UNLEASHES Wave of Shootings
Middle guy is a joke how do you compare the Wild West to the 21st century 🤣idiot,1,Texas Gun Law UNLEASHES Wave of Shootings
Just pussys who feel like tough guys when they have they're gun with them.,1,Texas Gun Law UNLEASHES Wave of Shootings
F*cker has calluses on his right hand but never did any hard work. Kinda says it all. Bet his idea of porn is the mirror.,1,Tucker's Insane Defense For Mass Shooters
She is saving her grandkids from a life of gun control by shooting them,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
She doesn't bake cookies..... She smokes that ass .......,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Maybe the grandkids should shoot their granny for being such an idiot!,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Right wing needs to get rid of the idiots. Left wing needs to grow a pair.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"We will never give up our guns,that will be the next civil war and there will be no winners",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
gun violence in Chicago is worse.,0,Texas Gun Law UNLEASHES Wave of Shootings
I am sure NRA is happy now.,0,Texas Gun Law UNLEASHES Wave of Shootings
death penalty for traitor trump,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
JUST LIKE THE FATHERS WHO WAS TRYING TO SHOOT EACH OTHER BUT SHOT EACH OTHERS' DAUGHTERS AND THE IDIOTS SHOOTING AT CARS THROUGH ROAD RAGE,1,Texas Gun Law UNLEASHES Wave of Shootings
"Wow how is shooting your grand children to keep them safe. Y’all put this woman in Washington DC, this woman has mental issues, and y’all elected her to political office. This is way the government is inoperative cause y’all got mental health issues yourselves. Damn this is fuked up!",1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Quick question:  On Ana's coffee mug...is that John and his dog on it? Or, Ana and her dog? I can't tell (using cellphone screen).",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"<shoots grandchildren> There, you have been protected <licks eye with tongue> Just like a normal human would",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
THIS  Woman  is  CRAZY !!!,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
If this bitch was my kids grandmother she would never see them again. She's dangerous.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Stop with the brainwash narrative... It's pathetic how you quote one sentence, play the whole debate you imbecile 🤡... Oh right, it's political!!!🤣🤣🤣",1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
I don't like his turkey because the sauce is too blue.,0,Tucker's Insane Defense For Mass Shooters
She the reason why many shouldn't have guns.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"The left needs to strap up because if the reich wing takes over, death squads will be a thing with those people.",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
What a lot of shit,1,Tucker's Insane Defense For Mass Shooters
Dark money from the gun industry including the NSA.,0,Texas Gun Law UNLEASHES Wave of Shootings
How can it be that a US Congress person is that stupid?,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Oh c’mon. I can’t think of a single person I know who didn’t get shot once or twice by their grandmother. Our grandmother used to shoot us all the time. She *meant* well and it’s not like she didn’t let us open our presents first.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Wild wild west in Texas. Stupid, crazy right-wing, conservatist americans",1,Texas Gun Law UNLEASHES Wave of Shootings
"Death of a 9 year old is just bad luck? WTF, Texas?",0,Texas Gun Law UNLEASHES Wave of Shootings
“I would shoot them to protect them”  What actually did I just listen to??,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
That is one deranged woman. How would shooting children save their lives? Please don't vote for her. We don't want someone who advocates for shooting children in office.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
What is it that you do?,0,Tucker's Insane Defense For Mass Shooters
Tucker: sycophant to Satan👹,0,Tucker's Insane Defense For Mass Shooters
Alright I'mma go get my Automatic pistol and shoot Your Grandkids to protect your gun rights.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
You need to do a little research on Anna what she is is a left-wing socialist that likes to dabble in Marxism she is about Un-American as they can come,0,Tucker's Insane Defense For Mass Shooters
"You’re trying to get sued, aren’t you?",0,Tucker's Insane Defense For Mass Shooters
cps needs to visit her.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Of course he shot anything other than his intended target. 99% of idiots who have a gun have zero idea how to use it.,1,Texas Gun Law UNLEASHES Wave of Shootings
"I don't know who is doing your makeup..,all I can say is ease up on drawing the upper lip.  You're better than that.  REALLY beautiful woman......",0,Tucker's Insane Defense For Mass Shooters
"Jessica, I carry. If you were being raped, mugged, murdered, bet you'd love to have me there to save your sorry ass.........But since you think I'm a looney, tough shit you're on your own lady....Call the defunded cops.",1,Texas Gun Law UNLEASHES Wave of Shootings
I dare her!  I double dare her!  I would love to see that!,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Arizona can’t do better? She’s mentally incompetent,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Her children should say: Hey, mom, I'm getting a restraining order against you to stay away from my children. Don't bother coming over. I'm not letting you near my children.",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
She is knowinly lying to her stupid base.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Come here sweetie, grandma needs to shoot you in the face to save you from the bad guys in my mind, come here I'm not crazy!",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
She’s fired up because she has issues herself.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
If that's the case you and yours should have been in uvalde instead of the 21 beautiful babies and people. Mad bitch !!!,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"As stupid as she is, I'm inclined to think the them in her statement wasn't in reference to her grandchildren. But she should have owned it",1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
This must be the woke cancel culture site. Lunatics? Can you read all this bamboozled bullshit here. Haha. The coma ward.,1,Tucker's Insane Defense For Mass Shooters
Prolife hypocrite Ass butt is NRA's blood money hire. Nerds more dead kids got more bribes donations. Vote blue or your granddaughter will bleed for decades of GOP lackies Sins against Halfbreeds rainbow slants beannrs women blacks and Americans,1,Texas Gun Law UNLEASHES Wave of Shootings
"Lmfao!!! They're pro life,  but they're ready to kill someone over a parking spot!!! Fu@king brilliant!!! 🤣",1,Texas Gun Law UNLEASHES Wave of Shootings
Wtf is wrong with these people. Oh yeah growing up with church shoved down their throat. Disgusting creatures.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"It's justified that you were shooting at one person, but accidentally killed an innocent child? Yep! THIS COUNTRY IS DOOMED!",0,Texas Gun Law UNLEASHES Wave of Shootings
Don't you dare defend this stupid ass republican. Why is all of America not pissed by woman.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Republicans are literally calling for violence on national tv what county is this okay in only America the rest of us our going to have to protect our own families cause the government won't 🖕🏾🖕🏾,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
what???? HOW IN THE HELL.... So you will kill your grandkids to keep a gun to protect them????? TF,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
The rural excuse of “I live in the middle of nowhere cops won’t show up in time” makes no sense. Crime doesn’t even happen in the middle of nowhere 😂,0,Texas Gun Law UNLEASHES Wave of Shootings
That kind of fanatic would with the right circumstances kill her own grandchildren claiming to be protecting them.  Just look at what the Goebbels dis to their children.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
*THE PROBLEM WITH AMERICA* way too many tiny penises...,1,Texas Gun Law UNLEASHES Wave of Shootings
"Every time there’s a mass shooting that makes national news, the right wing psychos on my social media are defending their f’cking Second Amendment rights.  They’re all psychos.",1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
She is a DISGRACE and TRAITER an lunatic,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Keep that crazy bitch away from her grand children please,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
I hear all the talking points of the politicians. The real elephant in the room is the NRA and who are they and what implications do they have to the coup,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"shooting them. Who is them?  I think she probably meant shooting the people causing the danger.  She probably expects you to figure out what she was thinking, whereas we only have what she actually said. She is pretty stupid.",1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Some people like this crazy b*tch needs karma to come and get her quick. Many others in the terrorist trumptard cult need the same.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Hey young turds move your asses to Mexico no citizen is allowed to own guns there. Australia also doesn't allow guns yet they still have mass shootings. Can't ban your way to safety idiots! Here's why because Criminals will not obey your stupid gun laws!!!!,1,Texas Gun Law UNLEASHES Wave of Shootings
"Seriously just say I misspoke, based on the floor footage it did seem like she was saying she would shoot her grandkids. also yeah the court reviews if the person is a threat, red-flag laws do not mean a person will have their guns confiscated because their ex hates them.",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Only in America, your country is fuckt up,.",1,Texas Gun Law UNLEASHES Wave of Shootings
I think SHE has the mental health issues and shouldn't be in any sort of power.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Have you guys seen what koo koo MTG said on her podcast about the highland park mass shooting?  Omg!!! These people are crazy as f**k!!!,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
They wanna take away your right to shoot up a parade or a school Crazy bitch!!!!,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Well I guess they’re cool with defunding the police since we’re all just shooting everyone out here. She really misrepresented what the process would look like 🤦🏼‍♀️,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Handgun, big truck, small penis.",1,Texas Gun Law UNLEASHES Wave of Shootings
Law abiding citizens? Y'all shoot up a f*cking school twice a week. Apparently you missed the memo but that sh*t's illegal as f*ck.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
i'll kill my grandkids to save my grandkids🤣🤣🤣🤣🤣,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Man jealousy is a bitch,1,Tucker's Insane Defense For Mass Shooters
"OOOOOKAY lol Yeah, she’s batshit but without context, I would immediately assume “them” is a third party she referred to prior",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
This from a woman who works for an organisation named after a genocide a genocide of her own people no less. let's check The Young Turks  pipeline to prison numbers and see how they hold up or are you too afraid of what you might find Anna?,0,Tucker's Insane Defense For Mass Shooters
These repukelicans keep getting Worse and Worse.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Good news, Debbie! Assuming that your grandkids go to school, there's a good chance that you won't need to shoot them yourself.",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
I’m have no interest in surrendering my firearms in the name of safety. When Cenk and Ana put down the alcohol to stop alcohol abuse deaths and drunk driving fatalities will I consider surrendering my property.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
But somehow the increase will be the dems fault 🙄,0,Texas Gun Law UNLEASHES Wave of Shootings
"I am sure glad she isn't my grandma, holy shit!",1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Mental health is not a concern of people that believe in space wizards, zombie gods, and a book written by lunatics...",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Who does this lady think she is, Keyser Soze?",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
You never know some of those religious wakos  have and will shoot their kids / grandkids if they think they’re possessed by demons or gay or other weird shit,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
WTF  HOW STUPID. MAYBE DIRECTING THE BULLET AT HERSELF WOULD HELP HER GRANDKIDS,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Only a moron would think it's a good idea. They have blood on their hands,1,Texas Gun Law UNLEASHES Wave of Shootings
“I would shoot my own children to protect gun rights.” Why?! Are they zombies? These lunatics,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Texas a shithole state.,1,Texas Gun Law UNLEASHES Wave of Shootings
"No AR here, got other firearms to protect me and family!",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
More maniacs in office? Who the heck is voting for these nuts? Stop voting for violent idiots who want to destroy our democracy and murder our children.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
you lost the gun control argument in 1782,0,Texas Gun Law UNLEASHES Wave of Shootings
shall not be infringed 🤷‍♂,0,Texas Gun Law UNLEASHES Wave of Shootings
This women is literally a clown.,1,Tucker's Insane Defense For Mass Shooters
"She didn't say she would shot then for gun rights like your bogus headline says. Hey, go debate Ben again. That was great watching you get it handed to you on ever iissue",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Why can't the Republicans see this shit!,1,Tucker's Insane Defense For Mass Shooters
Her  grandchildren need protection from her...,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
There is no way in hell these people have the mental capability to own a gun.  As a veteran I would be nervous as hell around a bunch of untrained republicans playing dress up,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
let the dumb c.... shoot each other 😂😂😂😂😂😂😂😂,1,Texas Gun Law UNLEASHES Wave of Shootings
Tucker and his idiots should be in prison!!!,1,Tucker's Insane Defense For Mass Shooters
“I’ll protect my grandkids but killing them.” Whoever the daughter or son of that crazy lady should not send their kids to her place anymore,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
What kind of psychotic scenario is she envisioning?  She sounds like one of those family annihilators who murders them to save their souls.  That's what she must mean by saving her grandchildren. I'm betting that scenario she's imagining is her grandkids turning against her.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
I will shoot to kill my grandchildren to stop them from getting shot,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Republicans are more concerned controlling women and the LGBTQ rights,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
To keep the libs from getting them?idk,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
OK.... Wait a minute....... She would shoot her own grandchildren - to make them safe......... WTF?????  How the EFF do these retards get elected to office? Are we really that freaking stupid?,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Stay away from grandma.👀,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"Well, if Pelosi's husband would have had a gun, rather than a hammer; I bet he would not be the one in the hospital.",0,Texas Gun Law UNLEASHES Wave of Shootings
This is among the darkest I told you so's I've had to say within these past 6 years.  Guns just don't fit in society; Either have them highly regulated or just outright BANNED. One or the other.,0,Texas Gun Law UNLEASHES Wave of Shootings
Everything is bigger in Texas. Especially stupidity.,1,Texas Gun Law UNLEASHES Wave of Shootings
"Umm mom, look we don't want you babysitting our kids anymore.",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
That's why these idiots want guns.They want a civil war.,1,Texas Gun Law UNLEASHES Wave of Shootings
"That B#TCH, HAS LOST HER MIND, COMPLETELY!!!!!!!!!!!!!",1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
"The guy who shot that 9 year old girl, that was manslaughter in the least!",0,Texas Gun Law UNLEASHES Wave of Shootings
"And just like that, she can no longer babysit the grandkids! #sicko",0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Turks are jerks. LOL That rhymes. Now eat a bag of vomit,1,Texas Gun Law UNLEASHES Wave of Shootings
a society that wants peace must execute swiftly and without bias those that commit murder genesis 9 verse 6. you cannot have real freedom if you allow murderers to live. it is impossible,0,Texas Gun Law UNLEASHES Wave of Shootings
What is she babbling about? Makes accusations but can't be specific. TYT and their viewers are all brainwashed idiots.  🤣🤣🤣🤣🤣🤣,1,Tucker's Insane Defense For Mass Shooters
"I do know one thing for sure. I'm glad I don't carry a weapon  With my temper, I would shoot someones ass off, and end up destroying my life and others life for really nu good reason",1,Texas Gun Law UNLEASHES Wave of Shootings
“Including Shooting them to protect their lives”😂😂😂😂 backward ass logic,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
kill a Latino 9 yr old it's ok. disgusting,1,Texas Gun Law UNLEASHES Wave of Shootings
"You bonehead Democrats are soft on crime,  protect the criminal",0,Tucker's Insane Defense For Mass Shooters
Debbie is a fruitcake and should not be allowed to see her grandchildren.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Can we just let Texas be it's own country so these people can have the option to go live in a place where guns flow like water and they can finally have that theocracy.,0,Texas Gun Law UNLEASHES Wave of Shootings
Shooting them to protect them from what?   From weak gun laws that take away your ‘freedom’ to still own guns?! Nut jobs!  How stupid are Americans to vote for idiots like this???!!,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
How dumb are republicans and their voters 🤣🤣🤣😅🤡🤡,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
So that must mean that she thinks its ok for her grandchildren to shoot her,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Gorbals did the same to his children🤔🤔🤔,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
This woman is out of her freaking mind y'all keep up the outstanding work 70 years  young and listen and watch every day.,0,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
What a an idiot you are clueless in what you are talking about!!!!!!,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
What the f## is this crazy person doing in congress an absolute crazy person and evil lady you need a shrink.,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
What does that even mean?!?!? How does someone so dumb get elected ?,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Gotta wonder if it would have been justified if that little girl had a surname more like Smith than Alvarez.,0,Texas Gun Law UNLEASHES Wave of Shootings
"McDonald's ran out of McRibs, where's ma guN",0,Texas Gun Law UNLEASHES Wave of Shootings
Is that the congresswoman who said that women need to regulate how much sperm is ejaculated into their vagina,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
I gotta say ..man..his face I cannot stand.   I apologize I do...but DANG he literally looks like a weasel,0,Tucker's Insane Defense For Mass Shooters
Policies  Sorry Horrible Occasions Of Tragedy This Is Not Good  Get Understanding Now Soon,0,Texas Gun Law UNLEASHES Wave of Shootings
Who in the f*** elects these people I'm going to run because I'm smart and this s*** will never fly,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
Untrained idiot wild west America Canada now banned private ownership of hand guns banned now.,1,Texas Gun Law UNLEASHES Wave of Shootings
If you are against red flag laws you're probably the crazy motherfucker they're talking about...,1,Republican: I Would Shoot My Own Grandchildren To Protect Gun Rights
